id,head_office_user_id,filter_type,name,filters,is_default,created_at,updated_at
1,65,task,Testing 1,"{""end_date"": null, ""statuses"": [""To do""], ""priorities"": [""urgent""], ""start_date"": null, ""task_types"": [""location""], ""max_deadline"": ""30"", ""search_query"": null}",0,2025-12-15 13:03:35,2025-12-16 13:55:39
2,65,task,High Priority,"{""end_date"": null, ""priorities"": [""high""], ""start_date"": null, ""max_deadline"": ""30"", ""search_query"": null}",0,2025-12-15 13:59:49,2025-12-15 14:01:00
3,65,task,Due Date,"{""end_date"": ""2025-10-31"", ""start_date"": ""2025-10-30"", ""max_deadline"": ""30"", ""search_query"": null}",0,2025-12-15 14:00:48,2025-12-15 14:06:36
5,102,task,To do list,"{""end_date"": null, ""statuses"": [""In progress""], ""start_date"": null, ""assigned_to"": [""user_1076""], ""max_deadline"": ""30"", ""search_query"": null}",1,2025-12-15 15:31:02,2026-01-28 20:27:25
6,158,task,Recent,"{""end_date"": null, ""statuses"": [""To do"", ""In progress"", ""Cant do"", ""Close""], ""start_date"": null, ""max_deadline"": ""30"", ""search_query"": null}",1,2025-12-15 20:11:06,2026-01-19 19:42:32
8,65,case,Status New,"{""sites"": null, ""statuses"": [""open""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2025-12-16 13:55:33,2025-12-16 14:03:18
9,65,case,Stage Filter,"{""sites"": null, ""stages"": [""QA Level 2""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2025-12-16 14:03:13,2025-12-16 14:04:58
10,65,case,Type + Stage Filter,"{""sites"": null, ""types"": [""111"", ""143"", ""192"", ""189""], ""stages"": [""Enter Stage Name""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2025-12-16 14:04:53,2025-12-16 14:23:49
11,65,case,Request Information,"{""sites"": null, ""awaiting"": [""requst_info_awaiting""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2025-12-16 14:08:34,2025-12-16 14:12:25
12,65,case,Share Case with extension request,"{""sites"": null, ""sharing"": [""share_extended""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2025-12-16 14:12:22,2025-12-16 14:13:21
13,65,case,Case Tags,"{""sites"": null, ""case_tags"": [""174"", ""178""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2025-12-16 14:13:17,2025-12-16 14:19:13
14,65,case,Case Investigator,"{""sites"": null, ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null, ""case_investigator"": [""116""]}",0,2025-12-16 14:13:46,2025-12-16 14:14:18
15,65,case,Case Handler + Case Investigator,"{""sites"": null, ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null, ""case_handler"": [""65""], ""case_investigator"": [""90""]}",0,2025-12-16 14:14:12,2025-12-16 14:20:44
16,65,case,Sites,"{""sites"": ""72_from_Testing"", ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2025-12-16 14:14:48,2025-12-16 14:15:50
17,65,case,Date Filter,"{""sites"": null, ""date_type"": ""multiple"", ""date_value"": ""2025-11-01, 2025-11-07"", ""date_filter"": ""reported_date""}",0,2025-12-16 14:15:45,2025-12-16 14:31:33
18,65,case,Mixed,"{""sites"": ""151_group"", ""types"": [""111""], ""stages"": [""Enter Stage Name""], ""awaiting"": [""requst_info_awaiting""], ""statuses"": [""In Progress""], ""case_tags"": [""168""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null, ""case_handler"": [""236""], ""case_investigator"": [""116""]}",1,2025-12-16 14:28:38,2025-12-16 14:31:33
20,95,case,Customer Team,"{""sites"": null, ""types"": [""142"", ""151"", ""148"", ""154""], ""statuses"": [""open""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",1,2026-01-09 13:26:13,2026-01-30 18:22:05
21,93,case,Customer Team,"{""sites"": null, ""types"": [""142"", ""151"", ""148"", ""154""], ""statuses"": [""open""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2026-01-09 13:27:44,2026-01-26 18:05:30
22,84,case,Serious PSIs,"{""sites"": null, ""types"": [""98"", ""232""], ""statuses"": [""open"", ""closed"", ""In Progress"", ""updated"", ""waiting""], ""case_tags"": [""131"", ""43""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2026-01-09 14:09:44,2026-01-09 14:09:44
23,94,case,IG,"{""sites"": null, ""types"": [""156""], ""statuses"": [""open"", ""In Progress"", ""updated""], ""date_type"": ""single"", ""date_value"": null, ""date_filter"": null}",0,2026-01-09 15:37:41,2026-01-30 16:56:19
