id,chart_key,title,description,form_ids,reason_ids,chart_type,data_processing_type,chart_options,is_active,is_dashboard_graph,sort_order,dashboard_section,created_at,updated_at,head_office_id
1,near_miss_by_day,Near Miss By Day,Shows near miss incidents by day of the week,[164],,column,count_by_day,"{""colors"": [""#4169E1""], ""xAxisTitle"": ""Day"", ""yAxisTitle"": ""Number""}",1,1,1,"[""patient_safety_incidents""]",2025-07-15 18:00:31,2025-10-03 01:48:39,37
2,near_miss_by_time,Near Miss By Time of Day,Shows near miss incidents by time of day,[164],,column,count_by_time,"{""colors"": [""#FFCC33"", ""#FF9933"", ""#6666FF"", ""#333366""], ""xAxisTitle"": ""Time Of Day"", ""yAxisTitle"": ""Number of Near Misses""}",1,1,2,"[""patient_safety_incidents""]",2025-07-15 18:00:31,2025-10-03 01:48:39,37
3,near_miss_by_type,Near Miss By Type,Shows near miss incidents by type,[164],[-447],column,count_by_type,"{""colors"": [""#4169E1"", ""#FF9933"", ""#66CC66"", ""#FF6666"", ""#9966CC"", ""#66CCCC"", ""#FFCC33"", ""#CC6699"", ""#666666"", ""#3399FF""], ""xAxisTitle"": ""Near Miss Types"", ""yAxisTitle"": ""Number of Incidents""}",1,1,3,"[""patient_safety_incidents""]",2025-07-15 18:00:31,2025-10-03 01:48:39,37
4,dispensed_items,Dispensed Items,Shows dispensed items from near miss forms,[164],"[""-9""]",bar,count_by_items,"{""colors"": [""#6B8E23""], ""xAxisTitle"": ""Items"", ""yAxisTitle"": ""Number of Items""}",1,1,4,"[""patient_safety_incidents""]",2025-07-15 18:00:31,2025-10-03 01:48:39,37
5,top_lasa_errors,Top 10 Lasa Error,Shows top LASA errors from multiple forms,"[98, 232]","[""-54918""]",bar,count_by_items,"{""colors"": [""#8B4513""], ""xAxisTitle"": ""Items"", ""yAxisTitle"": ""Number of Times Selected""}",1,1,5,"[""patient_safety_incidents""]",2025-07-15 18:00:31,2025-10-03 01:48:39,37
6,harm_caused,Harm Caused,Shows harm caused distribution from forms,"[98, 232]","[""-54678""]",pie,count_by_options,"{""colors"": [""#FF6B6B"", ""#4ECDC4"", ""#45B7D1"", ""#96CEB4"", ""#FFEAA7"", ""#DDA0DD"", ""#FFB347"", ""#87CEEB"", ""#F0E68C"", ""#FFA07A"", ""#98D8C8"", ""#F7DC6F"", ""#BB8FCE"", ""#85C1E9"", ""#F8C471""], ""showLegend"": true}",1,1,6,"[""patient_safety_incidents""]",2025-07-15 18:00:31,2025-07-15 18:00:31,37
50,nps_chart,NPS,"Net Promoter Score based on likelihood to use pharmacy again (Promoters: 4-5, Passives: 3, Detractors: 1-2)",[269],"[""-56""]",column,nps_custom,"{""colors"": [""#4CAF50"", ""#FFC107"", ""#F44336""], ""categories"": [""Promoters"", ""Passives"", ""Detractors""], ""showLegend"": false, ""xAxisTitle"": ""NPS Categories"", ""yAxisTitle"": ""Number of Responses""}",1,1,8,"[""customer_satisfaction_score""]",2025-07-28 11:06:54,2025-10-03 01:48:39,37
57,form269_combined_score,CSAT (Customer Satisfaction Score) ,this will be based on the total score out of the 5 questions they answer,[269],"[""-39"", ""-47"", ""-50"", ""-53"", ""-56""]",column,form269_combined_score,"{""colors"": [""#4CAF50""], ""maxValue"": 100, ""showLegend"": false, ""xAxisTitle"": ""CSAT"", ""yAxisTitle"": ""Percentage (%)""}",1,1,7,"[""customer_satisfaction_score""]",2025-07-28 12:59:00,2025-10-03 01:48:39,37
58,complaint_trend,Complaint Trend,Shows top 10 locations with actual complaints from customer feedback forms,[142],"[""-12"", ""-9""]",bar,count_by_location_actual_complaints,"{""colors"": [""#FF6B6B""], ""maxItems"": 10, ""showLegend"": false, ""xAxisTitle"": ""Pharmacy"", ""yAxisTitle"": ""Number of Actual Complaints""}",1,1,9,"[""Field_Managers""]",2025-09-15 00:28:20,2025-10-03 01:48:39,37
59,complaints_by_location_trading_names,Pharmacies with 3 or more Complaints,Shows locations with more than 3 actual complaints using trading names,[142],"[""-12""]",bar,count_by_location_trading_names_complaints,"{""colors"": [""#DC3545""], ""showLegend"": false, ""xAxisTitle"": ""Trading Name"", ""yAxisTitle"": ""Total Number of Complaints"", ""minComplaints"": 3}",1,1,10,"[""Field_Managers""]",2025-09-27 00:55:05,2025-10-03 01:48:39,37
60,near_miss_by_area,Total Number of Near Misses by Pharmacies,Shows near miss incidents grouped by area (location groups),[164],,column,count_by_area,"{""colors"": [""#4169E1""], ""showLegend"": false, ""xAxisTitle"": ""Area"", ""yAxisTitle"": ""Number of Submissions""}",1,1,11,"[""Field_Managers""]",2025-09-27 00:55:05,2025-10-03 01:48:39,37
61,case_tag_43_by_area,Hospitalisation,Shows records with case tag ID 43 grouped by area (location groups),"[98, 232]",,column,count_by_area_case_tag_43,"{""colors"": [""#dc3545""], ""showLegend"": false, ""xAxisTitle"": ""Area"", ""yAxisTitle"": ""Number of Records""}",1,1,12,"[""patient_safety_incidents""]",2025-10-03 01:48:39,2025-10-03 01:48:39,37
62,prescribed_items,Prescribed Items,Shows prescribed items from near miss forms,[164],"[""-11""]",bar,count_by_items,"{""colors"": [""#9370DB""], ""xAxisTitle"": ""Items"", ""yAxisTitle"": ""Number of Items""}",1,0,5,"[""patient_safety_incidents""]",2025-12-22 12:14:24,2025-12-22 12:14:24,37
